market,korean_name,english_name,market_warning,trade_price,acc_trade_price_24h,signed_change_rate,signed_change_price,trade_timestamp
KRW-ZIL,질리카,Zilliqa,,5.92,1145005906.8957655,-0.0279146141,,1772283928931
KRW-GAME2,게임빌드,GameBuild,,2.09,2500350069.205127,0.0145631068,,1772283978630
KRW-STX,스택스,Stacks,,364.0,2568767785.812358,-0.0421052632,,1772283982484
KRW-FLOCK,플록,FLock.io,,85.6,4224604612.9294586,-0.0874200426,,1772283981210
KRW-PROVE,서싱트,Succinct,,399.0,324124759.75094354,-0.0567375887,,1772283790090
KRW-BSV,비트코인에스브이,Bitcoin SV,,22050.0,736699175.1982372,-0.0333187199,,1772283955650
KRW-SUI,수이,Sui,,1225.0,19529683800.229633,-0.0684410646,,1772283987295
KRW-SYRUP,메이플파이낸스,Maple Finance,,309.0,377887105.14952725,-0.0911764706,,1772283867947
KRW-BTC,비트코인,Bitcoin,,93750000.0,219421482787.46362,-0.0246668262,,1772283987941
KRW-HOLO,홀로월드에이아이,Holoworld AI,,83.8,29258645367.045174,-0.0520361991,,1772283990193
KRW-MIRA,미라네트워크,Mira Network,,124.0,6362148809.142998,-0.0948905109,,1772283978632
KRW-SUN,썬,SUN,,23.0,244342046.48190904,-0.0170940171,,1772283689015
KRW-ZBT,제로베이스,ZEROBASE,,107.0,7876850863.023607,-0.0775862069,,1772283977326
KRW-ONG,온톨로지가스,ONG,,87.3,410635970.39648056,-0.0448577681,,1772283750841
KRW-BTT,비트토렌트,BitTorrent,,0.000488,1291598317.7846446,-0.0259481038,,1772283910939
KRW-ENSO,엔소,Enso,,1925.0,54581159049.25256,-0.1100323625,,1772283988264
KRW-BIRB,문버드,Moonbirds,,233.0,4907402575.687413,-0.0291666667,,1772283971845
KRW-ONT,온톨로지,Ontology,,59.0,694061605.7531676,-0.0752351097,,1772283869612
KRW-SOMI,솜니아,Somnia,,296.0,2344374628.866349,-0.038961039,,1772283895702
KRW-DEEP,딥북,DeepBook,,34.0,2853239553.802257,-0.0684931507,,1772283954699
KRW-STRAX,저트라,Xertra,,20.8,1019818866.3023818,-0.0234741784,,1772283915004
KRW-BREV,브레비스,Brevis,,188.0,2458494422.062565,-0.06,,1772283905124
KRW-ICX,아이콘,Icon,,51.2,222452360.43259612,-0.037593985,,1772283944738
KRW-POLYX,폴리매쉬,Polymesh,,59.8,409452599.09871835,-0.038585209,,1772283990193
